"FIPSCode","excCDR2020","excCDR2021","countyName","stateFIPS","countyFIPS","state"
"54005",171.14575142236,428.150297131627,"Boone",54,5,"West Virginia"
"54087",-71.8339199770131,244.428468727534,"Roane",54,87,"West Virginia"
"54089",424.822990420658,570.996725165841,"Summers",54,89,"West Virginia"
"54069",316.951566951567,255.693359141635,"Ohio",54,69,"West Virginia"
"54011",128.020483277324,315.430428878458,"Cabell",54,11,"West Virginia"
"54043",181.97914617352,575.482462668056,"Lincoln",54,43,"West Virginia"
"54013",474.308300395257,938.663214112316,"Calhoun",54,13,"West Virginia"
"54059",282.063336040002,706.514672099172,"Mingo",54,59,"West Virginia"
"54103",269.541778975741,908.386733328639,"Wetzel",54,103,"West Virginia"
"54049",74.8276292112812,223.118663429959,"Marion",54,49,"West Virginia"
"54101",72.2978672129172,302.626800629464,"Webster",54,101,"West Virginia"
"54019",211.692307692308,483.870967741935,"Fayette",54,19,"West Virginia"
"54055",359.002882135814,395.604395604396,"Mercer",54,55,"West Virginia"
"54063",400.930157966482,506.811547194291,"Monroe",54,63,"West Virginia"
"54067",89.7739329143883,517.815312538528,"Nicholas",54,67,"West Virginia"
"54109",330.672209362747,393.53278649661,"Wyoming",54,109,"West Virginia"
"54051",305.65963320844,374.631170639525,"Marshall",54,51,"West Virginia"
"54029",417.904261932721,330.906684315023,"Hancock",54,29,"West Virginia"
"54003",227.628744859996,289.875847130309,"Berkeley",54,3,"West Virginia"
"54001",487.398191496184,575.530263838593,"Barbour",54,1,"West Virginia"
"54065",119.338689020841,517.622426427824,"Morgan",54,65,"West Virginia"
"54071",559.552358113509,683.927699071812,"Pendleton",54,71,"West Virginia"
"54053",305.726492376436,536.012070197729,"Mason",54,53,"West Virginia"
"54031",254.039940724014,183.460344340954,"Hardy",54,31,"West Virginia"
"54083",121.576199671029,463.811886527883,"Randolph",54,83,"West Virginia"
"54009",465.220308655782,383.089958536146,"Brooke",54,9,"West Virginia"
"54085",395.624854549686,417.213017046132,"Ritchie",54,85,"West Virginia"
"54099",277.62782447752,575.935246199346,"Wayne",54,99,"West Virginia"
"54047",219.650701810779,498.807200173498,"McDowell",54,47,"West Virginia"
"54093",635.71850975754,284.26092160383,"Tucker",54,93,"West Virginia"
"54033",60.6648871633099,389.289929038883,"Harrison",54,33,"West Virginia"
"54027",207.675334227491,287.949114663916,"Hampshire",54,27,"West Virginia"
"54007",150.901437534747,415.749572022499,"Braxton",54,7,"West Virginia"
"54025",314.227875638275,609.569319365313,"Greenbrier",54,25,"West Virginia"
"54045",278.258718773188,497.014785408396,"Logan",54,45,"West Virginia"
"54097",247.265412178869,218.579234972678,"Upshur",54,97,"West Virginia"
"54041",100.998098859316,561.830977585901,"Lewis",54,41,"West Virginia"
"54079",164.180668599574,165.851955307263,"Putnam",54,79,"West Virginia"
"54107",181.148625296452,290.398910107794,"Wood",54,107,"West Virginia"
"54057",238.104096134529,450.48399106478,"Mineral",54,57,"West Virginia"
"54061",83.9480088286895,92.1763012848248,"Monongalia",54,61,"West Virginia"
"54073",289.093298291721,381.17770767613,"Pleasants",54,73,"West Virginia"
"54015",409.074005206396,543.684410165634,"Clay",54,15,"West Virginia"
"54039",246.118894358198,324.249122059038,"Kanawha",54,39,"West Virginia"
"54035",226.049515608181,463.263393179032,"Jackson",54,35,"West Virginia"
"54095",-36.0750360750361,636.241282270892,"Tyler",54,95,"West Virginia"
"54017",139.62934755014,103.332472229398,"Doddridge",54,17,"West Virginia"
"54091",281.774580335731,441.835128919017,"Taylor",54,91,"West Virginia"
"54105",247.242297451502,669.291338582677,"Wirt",54,105,"West Virginia"
"54021",134.19216317767,162.667751118341,"Gilmer",54,21,"West Virginia"
"54077",96.7940632974511,320.410124959949,"Preston",54,77,"West Virginia"
"54023",335.296782963299,300.573822752528,"Grant",54,23,"West Virginia"
"54037",152.402064355235,217.924738747705,"Jefferson",54,37,"West Virginia"
"54075",227.588822860033,765.110941086458,"Pocahontas",54,75,"West Virginia"
"54081",240.604949587534,419.741385146571,"Raleigh",54,81,"West Virginia"
